#Shadow Warrior voxel script file.  
#Last modified: 11-25-96

#Format: (editart tile number) (unique voxel number) (voxel file name)
#Note: do NOT use duplicate voxel numbers or you'll over write the
#      previous one loaded!

#TILE VOXNUM FILENAME
#=====================
3496 114 3496.kvx
0478 115 0478.kvx
0475 116 0475.kvx
0504 117 0504.kvx
0366 118 0366.kvx
0694 119 0694.kvx
0363 120 0363.kvx
0591 121 0591.kvx
2739 122 2739.kvx
0691 123 0691.kvx
0592 124 0592.kvx
0689 125 0689.kvx
0581 126 0581.kvx
0582 127 0582.kvx
0068 128 0068x.kvx #Unfinished voxel
0421 129 0421.kvx
0656 130 0656.kvx
0657 131 0657.kvx
0390 132 0390.kvx
0439 133 0439.kvx
0429 134 0429.kvx
0378 135 0378.kvx
0658 136 0658.kvx
0520 137 0520.kvx
0486 148 0486.kvx
0487 139 0487.kvx
0393 140 0393.kvx
3576 144 3576.kvx
3449 143 3449.kvx
3548 146 3548.kvx
0453 142 0453.kvx
5043 147 5043.kvx
0614 149 0614.kvx
0493 150 0493.kvx
5062 151 5062.kvx
2682 152 2682.kvx
2683 153 2683.kvx
2681 154 2681.kvx
2684 155 2684.kvx
5063 156 5063.kvx
4947 157 4947.kvx
5061 158 5061.kvx
5060 159 5060.kvx
0492 160 0492.kvx
3558 161 3558.kvx
0693 162 0693.kvx
2680 163 2680.kvx
2685 164 2685.kvx
5077 165 5077.kvx
5042 166 5042.kvx
0428 167 0428.kvx
0481 168 0481.kvx
2725 169 2725x.kvx #Head gib
4312 170 4312x.kvx #Coolie Dead Body
0604 171 0604x.kvx #Totally different model
0409 172 0409.kvx
0519 173 0519.kvx
3557 174 3557.kvx
0742 175 0742.kvx
0408 176 0408.kvx
0743 177 0743.kvx
3589 178 3589.kvx
3590 179 3590.kvx
0498 180 0498.kvx
0463 190 0463.kvx
0553 191 0553.kvx
0554 192 0554.kvx
0579 193 0579.kvx
0580 194 0580.kvx
0646 195 0646.kvx
0708 196 0708.kvx
0969 197 0969x.kvx #Dead snake
5633 198 5633.kvx
5632 199 5632.kvx
5800 200 5800.kvx
5801 201 5801.kvx
0500 202 0500.kvx
0501 203 0501.kvx
2700 204 2700.kvx
2701 205 2701.kvx
2703 206 2703.kvx
2705 207 2705.kvx
2704 208 2704.kvx
2702 209 2702.kvx
0683 210 0683.kvx
3580 211 3580.kvx
3578 212 3578.kvx
0087 213 0087x.kvx #Unfinished voxel
4226 214 4226x.kvx #Dead Evil Ninja
0502 215 0502.kvx
0671 216 0671.kvx
0537 217 0537.kvx
0538 218 0538.kvx
0539 219 0539.kvx
0540 220 0540.kvx
0670 221 0670.kvx
0672 222 0672.kvx
0457 223 0457.kvx
0713 224 0713.kvx
0712 225 0712.kvx
3497 226 3497.kvx
3577 227 3577.kvx
3579 228 3579.kvx
0648 229 0648.kvx
0396 230 0396.kvx
0454 231 0454.kvx
0455 232 0455.kvx
0456 233 0456.kvx
3358 234 3358.kvx
5205 235 5205x.kvx #Dead female ninja
0397 236 0397.kvx
0398 237 0398.kvx
0399 238 0399.kvx
2709 239 2709.kvx
0705 240 0705.kvx
0695 241 0695.kvx
0696 242 0696.kvx
2219 243 2219.kvx
0261 244 0261.kvx
0280 245 0280.kvx
0295 246 0295.kvx
0361 247 0361.kvx
2640 248 2640.kvx
3038 249 3038.kvx
3039 250 3039.kvx
3040 251 3040.kvx
3041 252 3041.kvx
3042 253 3042.kvx
2152 254 2152.kvx
2153 255 2153.kvx
2154 256 2154.kvx
2155 257 2155.kvx
2156 258 2156.kvx
2157 259 2157.kvx
2180 260 2180.kvx
2181 261 2181.kvx
2182 262 2182.kvx
2183 263 2183.kvx
2184 264 2184.kvx
2185 265 2185.kvx
2186 266 2186.kvx
2187 267 2187.kvx
4994 268 4994.kvx
0279 269 0279.kvx
0362 270 0362.kvx
0373 271 0373.kvx
1768 272 1768.kvx
1772 273 1772.kvx
1776 274 1776.kvx
1780 275 1780.kvx
2530 276 2530.kvx
2531 277 2531.kvx
2532 278 2532.kvx
2533 279 2533.kvx
3355 280 3355.kvx
0618 281 0618.kvx
0619 282 0619.kvx
0620 283 0620.kvx
0621 284 0621.kvx
0622 285 0622.kvx
0623 286 0623.kvx
5017 287 5017.kvx
5018 288 5018.kvx
5019 289 5019.kvx
2540 290 2540.kvx
2541 291 2541.kvx
2542 292 2542.kvx
2543 293 2543.kvx
2544 294 2544.kvx
2545 295 2545.kvx
2546 296 2546.kvx
0550 297 0550.kvx
0760 298 0760.kvx
0679 299 0679.kvx
0680 300 0680.kvx
0681 301 0681.kvx
0682 302 0682.kvx
